strategy,total_return,annual_return,annual_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,var_95_daily,cvar_95_daily,skewness,kurtosis
EW,2.873098058866602,0.1453710381472879,0.20250734568137288,0.6190937801562418,0.7553482683274009,-0.34599897699429016,0.4201487513348541,-0.019569812562584978,-0.031287980006915336,-0.7476050510668465,10.873310454560432
MV,2.008594328859327,0.11673603742585859,0.1534400386963336,0.6304484686510318,0.7438878915826016,-0.314571653516292,0.37109522145743085,-0.013191300252040428,-0.022412573431655296,-0.982877576290603,22.53504964842263
ERI,1.7508383538503831,0.10675474180501521,0.1624287981341194,0.5341093623889329,0.6265270581498216,-0.33184658153328916,0.32169908549835735,-0.014610153625537525,-0.024283801394039264,-1.0370136530653422,20.811881330160524
GARCH-EVT-CVaR,2.849401246902072,0.14466665121348465,0.20047336024855572,0.6218614336534163,0.7577044535508438,-0.3459989769942906,0.41811294492894363,-0.0195698125625852,-0.03102208216557404,-0.7911984815648504,10.986002516626229
GARCH-EVT-CVaR-MV,2.3540976989459783,0.12897157268040083,0.15210313018757,0.7164321506468647,0.8433610761737531,-0.314571653516292,0.40999108228205705,-0.01302776114042778,-0.02212091619848981,-1.0494751653030472,22.964097472438134
