date,EW,MV,ERI,GARCH-EVT-CVaR,GARCH-EVT-CVaR-MV
2015-01-02,0.9993690512747607,0.9993690512747607,0.9993690512747607,0.9993690512747607,0.9993690512747607
2015-01-05,0.9846620579647892,0.9846620579647892,0.9846620579647892,0.9846620579647892,0.9846620579647892
2015-01-06,0.9725955691136932,0.9725955691136932,0.9725955691136932,0.9725955691136932,0.9725955691136932
2015-01-07,0.9854736889113328,0.9854736889113328,0.9854736889113328,0.9854736889113328,0.9854736889113328
2015-01-08,1.0044320954208947,1.0044320954208947,1.0044320954208947,1.0044320954208947,1.0044320954208947
2015-01-09,0.9972400286841455,0.9972400286841455,0.9972400286841455,0.9972400286841455,0.9972400286841455
2015-01-12,0.9908140665262642,0.9908140665262642,0.9908140665262642,0.9908140665262642,0.9908140665262642
2015-01-13,0.9892450214801963,0.9892450214801963,0.9892450214801963,0.9892450214801963,0.9892450214801963
2015-01-14,0.9868823743307852,0.9868823743307852,0.9868823743307852,0.9868823743307852,0.9868823743307852
2015-01-15,0.9754235083921073,0.9754235083921073,0.9754235083921073,0.9754235083921073,0.9754235083921073
2015-01-16,0.9900717190728516,0.9900717190728516,0.9900717190728516,0.9900717190728516,0.9900717190728516
2015-01-20,0.9937374308790905,0.9937374308790905,0.9937374308790905,0.9937374308790905,0.9937374308790905
2015-01-21,1.0028478816128983,1.0028478816128983,1.0028478816128983,1.0028478816128983,1.0028478816128983
2015-01-22,1.0167695082129544,1.0167695082129544,1.0167695082129544,1.0167695082129544,1.0167695082129544
2015-01-23,1.0192441365566978,1.0192441365566978,1.0192441365566978,1.0192441365566978,1.0192441365566978
2015-01-26,1.0236736681024787,1.0236736681024787,1.0236736681024787,1.0236736681024787,1.0236736681024787
2015-01-27,1.0108952885726517,1.0108952885726517,1.0108952885726517,1.0108952885726517,1.0108952885726517
2015-01-28,0.9992326934468488,0.9992326934468488,0.9992326934468488,0.9992326934468488,0.9992326934468488
2015-01-29,1.0043650232855628,1.0043650232855628,1.0043650232855628,1.0043650232855628,1.0043650232855628
2015-01-30,0.9929145658041466,0.9929145658041466,0.9929145658041466,0.9929145658041466,0.9929145658041466
2015-02-02,1.0013514867822773,1.0013514867822773,1.0013514867822773,1.0013514867822773,1.0013514867822773
2015-02-03,1.0153198963923153,1.0153198963923153,1.0153198963923153,1.0153198963923153,1.0153198963923153
2015-02-04,1.013536386288972,1.013536386288972,1.013536386288972,1.013536386288972,1.013536386288972
2015-02-05,1.0257403037859134,1.0257403037859134,1.0257403037859134,1.0257403037859134,1.0257403037859134
2015-02-06,1.0190719204101548,1.0190719204101548,1.0190719204101548,1.0190719204101548,1.0190719204101548
2015-02-09,1.013452810107745,1.013452810107745,1.013452810107745,1.013452810107745,1.013452810107745
2015-02-10,1.0272157664356714,1.0272157664356714,1.0272157664356714,1.0272157664356714,1.0272157664356714
2015-02-11,1.0299866223219112,1.0299866223219112,1.0299866223219112,1.0299866223219112,1.0299866223219112
2015-02-12,1.041272367664995,1.041272367664995,1.041272367664995,1.041272367664995,1.041272367664995
2015-02-13,1.0475418603954367,1.0475418603954367,1.0475418603954367,1.0475418603954367,1.0475418603954367
2015-02-17,1.0468930257098517,1.0468930257098517,1.0468930257098517,1.0468930257098517,1.0468930257098517
2015-02-18,1.0492764372327523,1.0492764372327523,1.0492764372327523,1.0492764372327523,1.0492764372327523
2015-02-19,1.0549255727178057,1.0549255727178057,1.0549255727178057,1.0549255727178057,1.0549255727178057
2015-02-20,1.0620062635153302,1.0620062635153302,1.0620062635153302,1.0620062635153302,1.0620062635153302
2015-02-23,1.0590287545531138,1.0590287545531138,1.0590287545531138,1.0590287545531138,1.0590287545531138
2015-02-24,1.0633239773885477,1.0633239773885477,1.0633239773885477,1.0633239773885477,1.0633239773885477
2015-02-25,1.06687252914634,1.06687252914634,1.06687252914634,1.06687252914634,1.06687252914634
2015-02-26,1.0673089848107105,1.0673089848107105,1.0673089848107105,1.0673089848107105,1.0673089848107105
2015-02-27,1.0656475975092687,1.0656475975092687,1.0656475975092687,1.0656475975092687,1.0656475975092687
2015-03-02,1.0770359632949031,1.0770359632949031,1.0770359632949031,1.0770359632949031,1.0770359632949031
2015-03-03,1.0694667499209256,1.0694667499209256,1.0694667499209256,1.0694667499209256,1.0694667499209256
2015-03-04,1.0622855625430776,1.0622855625430776,1.0622855625430776,1.0622855625430776,1.0622855625430776
2015-03-05,1.066208128648308,1.066208128648308,1.066208128648308,1.066208128648308,1.066208128648308
2015-03-06,1.0510914291900502,1.0510914291900502,1.0510914291900502,1.0510914291900502,1.0510914291900502
2015-03-09,1.0536505768314446,1.0536505768314446,1.0536505768314446,1.0536505768314446,1.0536505768314446
2015-03-10,1.0363478850517578,1.0363478850517578,1.0363478850517578,1.0363478850517578,1.0363478850517578
2015-03-11,1.0359936155073413,1.0359936155073413,1.0359936155073413,1.0359936155073413,1.0359936155073413
2015-03-12,1.0447494408759002,1.0447494408759002,1.0447494408759002,1.0447494408759002,1.0447494408759002
2015-03-13,1.0421789897357154,1.0421789897357154,1.0421789897357154,1.0421789897357154,1.0421789897357154
2015-03-16,1.0585224715530304,1.0585224715530304,1.0585224715530304,1.0585224715530304,1.0585224715530304
2015-03-17,1.0555828535682015,1.0555828535682015,1.0555828535682015,1.0555828535682015,1.0555828535682015
2015-03-18,1.0645617483616197,1.0645617483616197,1.0645617483616197,1.0645617483616197,1.0645617483616197
2015-03-19,1.0660731753318748,1.0660731753318748,1.0660731753318748,1.0660731753318748,1.0660731753318748
