Ticker,mean,std,skewness,kurtosis,min,max,sharpe,jb_pvalue
BKNG,0.1755011127511215,0.3106229654988596,-0.3311252673177496,8.233810352333379,-0.14525357911531508,0.1718677222557164,0.5649972224985594,0.0
MELI,0.24894545209377256,0.46410665926932293,0.16739963029199578,5.571531336698472,-0.1848712975796126,0.18971878818801602,0.5363970697720769,0.0
REGN,0.12631045853350686,0.33310194408889054,0.5361598728658759,4.3868015580339,-0.11081256472456276,0.17266527173182356,0.3791946002566711,0.0
CHTR,0.12356392069984302,0.30620625824817005,-0.3638098916284608,11.333143699175915,-0.18046108888595652,0.1537472167120142,0.4035316632872296,0.0
ASML,0.21331689340737273,0.3499350129921935,-0.40417249188802756,6.154314925123195,-0.19054529933763634,0.1360437350524744,0.6095900252545792,0.0
COST,0.20925452768225553,0.2057686832388452,-0.4337929320878445,9.642697123641046,-0.1329752825116897,0.09494131746895859,1.016940597512422,0.0
BIIB,0.0016501027213851596,0.3975300627225305,1.0217476932630982,63.010277615709576,-0.34574177188472216,0.36446207886597054,0.004150887885268955,0.0
ADBE,0.21630570855864897,0.3195077561472273,-0.5304845824667046,10.602580159314707,-0.183840752745506,0.16313277614308605,0.6769967376284178,0.0
IDXX,0.17661058057422319,0.2960282876680934,-0.33544738465579915,8.16366017337166,-0.187226154413052,0.12442041559172727,0.5966003518293453,0.0
INTU,0.20170409144976387,0.2949658689736433,-0.2816340670089401,8.914669459370016,-0.15637966941023793,0.18298903618345003,0.6838217999648873,0.0
ILMN,0.08101442516262915,0.4073093499323833,-0.7501899878349907,12.755607211254196,-0.2851426371666471,0.15684426068057178,0.19890146193815145,0.0
KLAC,0.2566930479316047,0.3649163036711127,-0.07720435172455277,6.696478515464456,-0.15895542970164006,0.172182513072346,0.7034299244764735,0.0
VRTX,0.1649033529142136,0.3854963454456434,3.376253719009023,68.42843391290799,-0.23187526664382624,0.48184921527732083,0.4277689136678617,0.0
LULU,0.1357599858515531,0.3928335792515168,-1.1148767131261248,16.155948394112123,-0.26708133344188073,0.1511407739673047,0.34559160169103315,0.0
META,0.28019469939751723,0.3878279438803329,-0.4018240416615352,25.64560196056909,-0.30639057815035836,0.2593710764780223,0.7224716625472797,0.0
SNPS,0.2231052661775818,0.2795281623938356,-0.2906879464761446,6.262567057013033,-0.14143800644665577,0.1061621316713747,0.798149511186791,0.0
ISRG,0.18550353643137338,0.31692346168638474,-0.22581576770482856,10.738973020630592,-0.17618142489094027,0.1630937528216018,0.5853259820030002,0.0
AMGN,0.11931528057519873,0.24792258336366335,0.14957782689429153,5.377451760880188,-0.10075537152904403,0.11170182033482069,0.48126023436994453,0.0
MSFT,0.2375473452758227,0.26302611800400283,-0.2552309293463318,8.620019396037167,-0.1594529724450558,0.1329285894404098,0.9031321569069716,0.0
WDAY,0.1380929525126546,0.3851718929965296,-0.09807415006917142,6.341384147528936,-0.17850396581097996,0.1712318526449373,0.3585229219046334,0.0
ADSK,0.1850486577956114,0.34820919186420946,-0.24007668778348362,7.709447910176037,-0.17268747762941447,0.1501299949604579,0.5314295605033152,0.0
VRSK,0.14829112115093296,0.221632989120706,-0.407166893955042,12.509658631022845,-0.11293594004166942,0.12474554247595512,0.6690841545712786,0.0
ADP,0.16562492112385438,0.22547881780833906,-0.7641546832653687,15.296531979905948,-0.1654949421018043,0.11157322495032308,0.7345475851511625,0.0
HON,0.13357757288764324,0.21733920106228324,-0.2273931747251696,12.05393145689709,-0.1288204770387252,0.14035612053730945,0.6146041406003131,0.0
NXPI,0.19244224138711355,0.39006391088300846,-0.2996906366502631,8.413426565726716,-0.21952056171653725,0.1647162221702803,0.49336079554622675,0.0
MAR,0.17422604698025268,0.3043281043908941,0.03068873797867129,10.598296147500841,-0.164773036279299,0.1779957667907192,0.5724941090437974,0.0
PEP,0.09253597078722645,0.17747550333617929,-0.5542186664617319,22.022602806847498,-0.12135788017902707,0.12165641904817799,0.5214013711624308,0.0
ADI,0.16349442957000643,0.2962581069221719,-0.23875553977830263,7.898194452342333,-0.18170041331969908,0.1371302169845361,0.5518648291807151,0.0
TXN,0.18565976558094402,0.26976297770812757,-0.11390025700883241,5.116078232825863,-0.12585481090586492,0.12689182307904415,0.6882329338083606,0.0
TSLA,0.4449884264975836,0.568559047276461,0.05443745590295674,4.688466973250707,-0.23651789445767657,0.21829241013013823,0.782660004495907,0.0
DLTR,0.049084223099423105,0.3292581267794281,-1.3501814709265043,24.30570788027266,-0.25045747482978953,0.1977470917252107,0.1490752060686566,0.0
TTWO,0.23006916545353295,0.3392211738013821,-0.1701298598864102,7.009993940579129,-0.14800255411343088,0.16775313876255976,0.6782276084813064,0.0
EA,0.19813865698997019,0.2994825886473461,0.6052372781676059,11.085743298093762,-0.14277658847073715,0.1909006514357005,0.6616032600923158,0.0
CDNS,0.2612261821856664,0.29981829429807444,0.09411052067048209,6.217327357547253,-0.13465260624174896,0.14293661938718283,0.8712816634396553,0.0
AMZN,0.23836420760895707,0.3217165720754103,-0.007001714429529983,6.051352069832946,-0.15139791287665294,0.13217782645721562,0.7409136746399391,0.0
QCOM,0.10667533126051496,0.3435652145113439,-0.11321006298155954,9.792997231443074,-0.16547108470154306,0.2086989156633287,0.31049514547693746,0.0
TMUS,0.19986870133484122,0.27541418820226443,-0.34933902068983064,8.5609449352045,-0.17197776650793237,0.11138750466016684,0.7257022691512809,0.0
AAPL,0.21195757839212914,0.28180688110649843,-0.31478497360036967,6.006364537341927,-0.13770774823728374,0.11315695929083897,0.7521376964249061,0.0
